ImageId,EncodedPixels
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,5 17 261 17 518 16 775 15 1032 13 1289 11 1546 9
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48670 2 48925 5 49180 7 49436 8 49692 8 49948 8 50204 8 50460 9 50716 9 50972 9 51228 9 51485 8 51741 8 51998 6 52256 3
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,23333 5 23588 7 23843 9 24098 10 24354 11 24609 12 24865 12 25121 12 25377 12 25633 12 25889 12 26146 11 26402 10 26659 9 26916 7 27174 3
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48181 6 48437 7 48692 8 48947 10 49203 10 49459 10 49714 12 49970 12 50226 11 50483 10 50739 10 50995 9 51252 8 51509 6
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,25943 5 26198 7 26453 9 26709 9 26965 10 27221 10 27477 10 27733 10 27990 9 28246 9 28503 7 28760 5
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,48223 3 48477 7 48732 8 48987 10 49242 11 49497 12 49753 11 50009 10 50265 10 50521 9 50778 6 51035 4
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,64672 7 64927 9 65182 11 65438 11
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,9654 5 9908 8 10164 9 10419 11 10674 13 10930 13 11186 13 11442 14 11698 14 11954 14 12210 14 12466 14 12723 13 12979 12 13236 11 13493 9 13751 6 14010 1
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,54469 3 54721 9 54976 11 55231 12 55486 14 55741 15 55997 14 56253 14 56509 13 56765 12 57022 10 57279 7 57537 2
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,3278 2 3532 6 3787 8 4043 8 4298 10 4555 9 4810 10 5067 10 5323 10 5579 10 5836 8 6093 6 6350 4
38f5cfb55fc8b048e82a5c895b25fefae7a70c71ab9990c535d1030637bf6a1f,37091 6 37346 8 37601 10 37857 10 38113 11 38369 11 38625 11 38881 11 39137 11 39394 9 39650 9 39906 8 40163 6 40421 2
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,6237 2 6752 10 7269 13 7788 12 8305 16 8824 16 9343 16 9862 16 10381 16 10901 15 11421 14 11940 14 12459 12 12976 16 13495 16 14014 16 14533 16 15052 16 15571 16 16090 16 16615 10 17135 9 17655 10 18174 12 18693 12 19212 14 19731 14 20250 16 20769 16 21288 16 21807 18 22326 18 22845 18 23365 17 23885 16 24404 18 24925 14 25444 16 25964 15 26484 14 27003 14 27524 12 28043 12 28562 12 29081 12 29602 10 30123 8 30640 10 31159 6 31167 2 31683 1
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,49313 6 49829 10 50347 13 50865 14 51384 14 51903 16 52422 16 52941 16 53462 16 53981 16 54500 16 55019 16 55538 17 56057 16 56576 16 57095 16 57616 14 58135 14 58654 14 59173 14 59692 14 60212 13 60732 12 61251 12 61770 12 62289 12 62810 10 63329 8 63848 9 64367 8 64888 6 65409 3
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,54030 9 54546 13 55064 14 55581 16 56098 18 56615 21 57134 20 57653 22 58172 22 58691 22 59210 22 59729 22 60246 24 60767 22 61284 26 61803 26 62322 26 62841 26 63360 28 63879 28 64398 28 64917 28 65436 28 65957 26 66476 26 66995 26 67514 26 68035 24 68555 23 69076 21 69598 18 70119 16 70638 16 71157 12 71673 13 72191 14 72680 4 72710 13 73196 10 73229 12 73715 10 73748 12 74234 11 74267 10 74753 12 74784 12 75271 13 75302 13 75791 12 75816 18 76310 12 76333 18 76827 14 76849 21 77346 14 77368 21 77865 15 77887 21 78384 16 78404 23 78903 16 78923 23 79422 43 79941 43 80460 43 80977 45 81496 45 82015 45 82534 20 82558 21 83053 20 83080 18 83572 19 83602 9
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,21 11 538 16 1057 16 1576 16 2097 14 2616 16 3135 16 3654 17 4173 19 4694 17 5213 17 5732 17 6253 15 6772 15 7293 13 7812 13 8333 11 8853 10 9373 9 9894 7 10413 10 10932 11 11451 13 11970 13 12489 13 13008 13 13527 13 14046 13 14565 13 15084 13 15603 13 16122 13 16641 13 17160 15 17679 15 18198 13 18717 13 19236 13 19756 12 20276 9 20797 7
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,68 15 585 18 1105 17 1625 16 2144 16 2663 16 3184 14 3703 15 4222 16 4742 15 5262 14 5781 14 6300 14 6819 14 7338 14 7855 16 8374 16 8893 16 9412 16 9931 16 10448 18 10967 16 11486 16 12005 16 12524 16 13043 16 13562 14 14081 14 14600 14 15119 12 15636 14 16155 14 16676 10 17196 9 17720 2
d616d323a9eeb9da1b66f8d5df671d63c092c9919cb2c0b223e29c63257c944d,35395 5 35911 11 36428 15 36946 16 37464 17 37983 17 38502 17 39021 17 39540 17 40059 17 40578 17 41097 17 41616 18 42135 17 42652 19 43171 20 43690 20 44208 21 44726 23 45243 25 45763 24 46283 24 46802 25 47321 25 47840 25 48359 27 48878 27 49397 28 49916 29 50437 27 50956 27 51475 28 51994 29 52513 29 53033 28 53553 27 54074 25 54593 25 55112 25 55633 23 56152 25 56672 24 57192 23 57711 21 58230 21 58749 21 59269 20 59789 17 60310 15 60829 15 61350 13 61872 9
